list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
28,2026-07-25,Bhagavata Saroddhara,Day 102 Bhagavata Saroddhara -25/Jul/2026 - अध्यात्मप्रकरण - 227-229--by Sri Vijayananda,EqclQ17Hlzs,https://www.youtube.com/watch?v=EqclQ17Hlzs,61.0,38,videos,1
30,2026-07-18,Bhagavata Saroddhara,Day 101 Bhagavata Saroddhara -18/Jul/2026 - अध्यात्मप्रकरण - 223--by Sri Vijayananda,2FXTqqT2lTQ,https://www.youtube.com/watch?v=2FXTqqT2lTQ,55.2,15,videos,2
36,2026-07-11,Bhagavata Saroddhara,Day 100 Bhagavata Saroddhara -11/Jul/2026 - अध्यात्मप्रकरण - 222--by Sri Vijayananda,6T-eZ3O-7Nc,https://www.youtube.com/watch?v=6T-eZ3O-7Nc,51.5,22,videos,3
44,2026-07-04,Bhagavata Saroddhara,Day 99 Bhagavata Saroddhara -04/Jul/2026 - बिम्बोपासकगुरुप्राप्ति - 221--by Sri Vijayananda,GbPhQG37bjg,https://www.youtube.com/watch?v=GbPhQG37bjg,43.8,28,videos,4
45,2026-06-28,Bhagavata Saroddhara,Day 98 Bhagavata Saroddhara -28/Jun/2026 - बिम्बोपासकगुरुप्राप्ति - 219--by Sri Vijayananda,ujVc2BpN2YM,https://www.youtube.com/watch?v=ujVc2BpN2YM,65.5,16,videos,5
46,2026-06-20,Bhagavata Saroddhara,Day 97 Bhagavata Saroddhara -20/Jun/2026 - बिम्बोपासकगुरुप्राप्ति - 217--by Sri Vijayananda,-SBeOJ0dZvY,https://www.youtube.com/watch?v=-SBeOJ0dZvY,57.3,7,videos,6
47,2026-06-16,Bhagavata Saroddhara,Day 96 Bhagavata Saroddhara -16/Jun/2026 - बिम्बोपासकगुरुप्राप्ति - 215--by Sri Vijayananda,vwGJyDWD6s4,https://www.youtube.com/watch?v=vwGJyDWD6s4,57.7,9,videos,7
48,2026-06-09,Bhagavata Saroddhara,Day 95 Bhagavata Saroddhara -09/Jun/2026 - बिम्बोपासकगुरुप्राप्ति - 212-by Sri Vijayananda,8HNlaG9xgSg,https://www.youtube.com/watch?v=8HNlaG9xgSg,57.7,6,videos,8
82,2026-04-25,Bhagavata Saroddhara,Day 94 Bhagavata Saroddhara -25/Apr/2026 - बिम्बोपासकगुरुप्राप्ति - 210-211-by Sri Vijayananda,XKxw1zmQvck,https://www.youtube.com/watch?v=XKxw1zmQvck,56.5,38,videos,9
83,2026-04-18,Bhagavata Saroddhara,Day 93 Bhagavata Saroddhara -18/Apr/2026 - बिम्बोपासकगुरुप्राप्ति - 209-by Sri Vijayananda,BwNHv5MNxTI,https://www.youtube.com/watch?v=BwNHv5MNxTI,61.5,19,videos,10
