list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
267,2023-12-17,Deva Pooja (NKHK),Satyatma Sandya Deva Pooja 17th Dec 2023,d7NXkCw5-B0,https://www.youtube.com/watch?v=d7NXkCw5-B0,90.0,211,streams,186
279,2023-10-08,Deva Pooja (NKHK),NKHK marathi DevaPooja Day 3 - 8th Oct 2023,k5nNcT1oANE,https://www.youtube.com/watch?v=k5nNcT1oANE,88.2,173,streams,190
281,2023-10-02,Deva Pooja (NKHK),NKHK DevaPooja Day2 - Oct 2nd 2023,m6VOYHjtjTw,https://www.youtube.com/watch?v=m6VOYHjtjTw,80.4,302,streams,191
283,2023-09-24,Deva Pooja (NKHK),NKHK Marathi DevaPooja day1-  24th Sept 2023,vbU7y600-AM,https://www.youtube.com/watch?v=vbU7y600-AM,102.2,423,streams,192
454,2021-04-04,Deva Pooja (NKHK),Devapooja 4th April Kannada,zVAvPE_BWjc,https://www.youtube.com/watch?v=zVAvPE_BWjc,151.8,324,streams,329
455,2021-03-28,Deva Pooja (NKHK),Devara Pooja -Kannada- Mangala -28th March,EteSQHE4m5U,https://www.youtube.com/watch?v=EteSQHE4m5U,126.8,2000,streams,330
456,2021-03-27,Deva Pooja (NKHK),DevaPooja 27th March Marathi,T9_AHXlyrOs,https://www.youtube.com/watch?v=T9_AHXlyrOs,91.8,93,streams,331
459,2021-03-21,Deva Pooja (NKHK),Deva Pooja 21st March -Kannada,a0IlwTlGzb8,https://www.youtube.com/watch?v=a0IlwTlGzb8,127.3,396,streams,334
460,2021-03-20,Deva Pooja (NKHK),Devapooja March 20th Marathi,3XG_97UQzJc,https://www.youtube.com/watch?v=3XG_97UQzJc,64.6,44,streams,335
461,2021-03-20,Deva Pooja (NKHK),Deva Pooja 20th March Marathi,VhLT9RQBKY0,https://www.youtube.com/watch?v=VhLT9RQBKY0,0.8,44,streams,336
462,2021-03-14,Deva Pooja (NKHK),Deva Pooja - kannada - 14th March 2021,xbDBXFBXzWE,https://www.youtube.com/watch?v=xbDBXFBXzWE,154.5,2000,streams,337
463,2021-03-13,Deva Pooja (NKHK),Devapooja 13th march -Marathi,j3PWLmt5eRk,https://www.youtube.com/watch?v=j3PWLmt5eRk,111.6,107,streams,338
464,2021-03-07,Deva Pooja (NKHK),Devapooja -7th March -Kannada,lr9GOLQAYyU,https://www.youtube.com/watch?v=lr9GOLQAYyU,74.6,254,streams,339
