list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
37,2026-07-10,Manimanjari (Kannada),Manimanjari Kannada Mangala 4th Sarga -10th July 2026,mzbO_5OwalQ,https://www.youtube.com/watch?v=mzbO_5OwalQ,35.2,69,streams,34
38,2026-07-09,Manimanjari (Kannada),Manimanjari Kannada 9th July 2026,K2XROp9nfcI,https://www.youtube.com/watch?v=K2XROp9nfcI,31.4,109,streams,35
39,2026-07-09,Manimanjari (Kannada),Manimanjari Kannada 9th July 2026,vXTyn3tf_dA,https://www.youtube.com/watch?v=vXTyn3tf_dA,0.4,16,streams,36
40,2026-07-07,Manimanjari (Kannada),Manimanjari Kannada 7th July 2026,pixBidHgYFQ,https://www.youtube.com/watch?v=pixBidHgYFQ,28.8,62,streams,37
42,2026-07-06,Manimanjari (Kannada),Manimanjari Kannada 6th July 2026,gRN8WvSlEBg,https://www.youtube.com/watch?v=gRN8WvSlEBg,31.9,47,streams,39
50,2026-07-02,Manimanjari (Kannada),Manimanjari Kannada 2nd July 2026,x24uEoCIyd4,https://www.youtube.com/watch?v=x24uEoCIyd4,35.7,52,streams,42
51,2026-06-30,Manimanjari (Kannada),Manimanjari Kannada 30th June 2026,ahoU6cp3kR0,https://www.youtube.com/watch?v=ahoU6cp3kR0,40.7,168,streams,43
53,2026-06-29,Manimanjari (Kannada),Manimanjari Kannada 29th June2026,0GAkY8XYdDg,https://www.youtube.com/watch?v=0GAkY8XYdDg,39.8,146,streams,45
56,2026-06-26,Manimanjari (Kannada),Manimanjari Kannada 26th June 2026,L5zlOOCe7lQ,https://www.youtube.com/watch?v=L5zlOOCe7lQ,34.5,99,streams,48
58,2026-06-24,Manimanjari (Kannada),Manimanjari Kannada 24th June 2026,EdbYS0IPZk8,https://www.youtube.com/watch?v=EdbYS0IPZk8,38.5,233,streams,50
59,2026-06-23,Manimanjari (Kannada),Manimanjari Kannada 23rd June 2026,s_J_fbSbGaY,https://www.youtube.com/watch?v=s_J_fbSbGaY,38.8,145,streams,51
63,2026-06-09,Manimanjari (Kannada),Manimanjari kannada Day24 !9th June 2026,W0I6bA_eWX8,https://www.youtube.com/watch?v=W0I6bA_eWX8,31.7,109,streams,55
65,2026-06-18,Manimanjari (Kannada),Manimanjari Kannada Day 24 -18th June 2026,YCD3x5tg7hc,https://www.youtube.com/watch?v=YCD3x5tg7hc,34.0,166,streams,57
66,2026-06-17,Manimanjari (Kannada),"Manimanjari Kannada Day 23 , 17th June 2026",KFOMIgqsj7Q,https://www.youtube.com/watch?v=KFOMIgqsj7Q,38.5,193,streams,58
67,2026-05-28,Manimanjari (Kannada),manimanjari Day 22-28th May 2026,sNepLgLpJYo,https://www.youtube.com/watch?v=sNepLgLpJYo,24.6,14,streams,59
68,2026-05-25,Manimanjari (Kannada),Manimanjari Day21 - 25May2026,0w2WgLVyHtc,https://www.youtube.com/watch?v=0w2WgLVyHtc,23.7,25,streams,60
70,2026-05-22,Manimanjari (Kannada),Manimanjari kannada Day20 - 22nd May 2026,64iSquskqWs,https://www.youtube.com/watch?v=64iSquskqWs,33.1,84,streams,62
72,2026-05-20,Manimanjari (Kannada),Manimanjari Day20 -20th May 2026,rdlM7R582Rk,https://www.youtube.com/watch?v=rdlM7R582Rk,20.0,26,streams,64
73,2026-05-18,Manimanjari (Kannada),manimanjariDay19-18th May 2026,yJJaATuKaoI,https://www.youtube.com/watch?v=yJJaATuKaoI,38.0,25,streams,65
74,2026-05-15,Manimanjari (Kannada),"Manimanjari Kannada Day 18 ,15th May 2026",dB5UzyLVDfM,https://www.youtube.com/watch?v=dB5UzyLVDfM,36.1,114,streams,66
75,2026-05-11,Manimanjari (Kannada),Manimanjari Day17 -11th May 2026,JO5h6XrwrEo,https://www.youtube.com/watch?v=JO5h6XrwrEo,27.7,51,streams,67
76,2026-05-08,Manimanjari (Kannada),Manimanjari Day 16 -May 8th 2026,mGqBuSw7PBw,https://www.youtube.com/watch?v=mGqBuSw7PBw,36.2,36,streams,68
78,2026-05-07,Manimanjari (Kannada),Manimanjari kannada day15- 7th May 2026,LLu_mfsahpE,https://www.youtube.com/watch?v=LLu_mfsahpE,35.1,112,streams,70
80,2026-05-06,Manimanjari (Kannada),Manimanjari Kannada Day 14 6th May 2026,kXzNg7jP53A,https://www.youtube.com/watch?v=kXzNg7jP53A,31.1,144,streams,72
81,2026-05-05,Manimanjari (Kannada),Manimanjari Kannada Day 13 5th May,UJtZ5ivSG0A,https://www.youtube.com/watch?v=UJtZ5ivSG0A,36.7,86,streams,73
86,2026-05-01,Manimanjari (Kannada),Manimanjari Day12 1st May 2026,oj53rw9ZXnU,https://www.youtube.com/watch?v=oj53rw9ZXnU,36.0,41,streams,75
87,2026-04-30,Manimanjari (Kannada),"manimanjari Kannada day11 ,30th April2026",7PBzucxbrp8,https://www.youtube.com/watch?v=7PBzucxbrp8,27.3,82,streams,76
89,2026-04-28,Manimanjari (Kannada),Manimanjari Kannada Day10-28th April 2026,maBE8ieOFx4,https://www.youtube.com/watch?v=maBE8ieOFx4,33.4,191,streams,78
91,2026-04-21,Manimanjari (Kannada),Manimanjari Kannada Day9 -21st April 2026,qpVwA3rD70I,https://www.youtube.com/watch?v=qpVwA3rD70I,37.6,130,streams,80
93,2026-04-20,Manimanjari (Kannada),Manimanjari Kannada Day8- 20th April 2026,IdESzpzXaFc,https://www.youtube.com/watch?v=IdESzpzXaFc,32.8,53,streams,82
95,2026-04-17,Manimanjari (Kannada),Manimanjari Kannada Day7- 17th April 2026,i1qin5cZL_w,https://www.youtube.com/watch?v=i1qin5cZL_w,27.7,108,streams,84
97,2026-04-16,Manimanjari (Kannada),Manimanjari day6-16th April 2026,6xq3w2O0vWg,https://www.youtube.com/watch?v=6xq3w2O0vWg,30.7,96,streams,86
99,2026-04-10,Manimanjari (Kannada),Manimanjari Kannada- Day5 -10th April,8isrt9ldeQo,https://www.youtube.com/watch?v=8isrt9ldeQo,32.8,72,streams,88
101,2026-04-09,Manimanjari (Kannada),manimanjari kannada Day4-9th April 2026,Au1VPWNlbIE,https://www.youtube.com/watch?v=Au1VPWNlbIE,31.5,128,streams,90
103,2026-04-06,Manimanjari (Kannada),Manimanjari Kannada Day3 6th April 2026,ymqPqSX25lQ,https://www.youtube.com/watch?v=ymqPqSX25lQ,32.9,160,streams,92
105,2026-04-04,Manimanjari (Kannada),Manimanjari Kannada day2-4th April2026,S8cSAvPApHI,https://www.youtube.com/watch?v=S8cSAvPApHI,35.3,121,streams,94
107,2026-04-03,Manimanjari (Kannada),Manimanjari Kannada Day1-3rd April2026,EU5sh0Pij3c,https://www.youtube.com/watch?v=EU5sh0Pij3c,34.0,249,streams,95
445,2021-04-07,Manimanjari (Kannada),Manimanjari 7th April Kannada,6eL-526cEdQ,https://www.youtube.com/watch?v=6eL-526cEdQ,44.6,388,streams,325
