list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
312,2023-06-25,NKHK Satsanga & Other Talks,NKHK Jamshedpur satsang 25th June 2023,cwog-PtWY2s,https://www.youtube.com/watch?v=cwog-PtWY2s,20.6,248,streams,211
321,2023-06-13,NKHK Satsanga & Other Talks,NKHK kannada 28 Moorti stuti day1 13th June,bdEAwaHNda8,https://www.youtube.com/watch?v=bdEAwaHNda8,85.2,222,streams,217
395,2022-07-24,NKHK Satsanga & Other Talks,NKHK Marathi Dwadasha Stotra day1,8JnMcAX0JRw,https://www.youtube.com/watch?v=8JnMcAX0JRw,51.9,77,streams,270
399,2022-06-02,NKHK Satsanga & Other Talks,NKHK marathi 2nd June 2022,U_3bX9JCBFw,https://www.youtube.com/watch?v=U_3bX9JCBFw,53.8,71,streams,274
405,2022-06-12,NKHK Satsanga & Other Talks,NKHK Marathi Sri Sri  Raghuvaryateertha Stuti 12June,FpkvtK-4gcY,https://www.youtube.com/watch?v=FpkvtK-4gcY,76.8,117,streams,280
426,2021-09-11,NKHK Satsanga & Other Talks,NKHK Marathi 11th Sept.2021,jOO3eBCr7iE,https://www.youtube.com/watch?v=jOO3eBCr7iE,48.4,52,streams,301
429,2021-08-14,NKHK Satsanga & Other Talks,NKHK Sandhya Marathi 14th Aug,c6lVtLM22x4,https://www.youtube.com/watch?v=c6lVtLM22x4,31.6,75,streams,304
436,2021-07-17,NKHK Satsanga & Other Talks,NKHK marathi 17th July 2021,6PHWExuS2b4,https://www.youtube.com/watch?v=6PHWExuS2b4,1.3,53,streams,311
437,2021-07-11,NKHK Satsanga & Other Talks,NKHK kannada karyashala 11th July 2021,GnbFc8sh804,https://www.youtube.com/watch?v=GnbFc8sh804,76.5,99,streams,312
443,2021-06-16,NKHK Satsanga & Other Talks,NKHK-Spl.Satsanga -GO Mahima-Pt.Sri Sanjeevaacharya 16th June,xdoNNw_m6HE,https://www.youtube.com/watch?v=xdoNNw_m6HE,96.3,351,streams,318
444,2021-06-13,NKHK Satsanga & Other Talks,Marathi Satsanga 13th June Ramapanchakam,NdJQ7cmSeuI,https://www.youtube.com/watch?v=NdJQ7cmSeuI,86.6,112,streams,319
445,2021-05-30,NKHK Satsanga & Other Talks,Marathi Satsanga 30th May,RnIG-rGXLO4,https://www.youtube.com/watch?v=RnIG-rGXLO4,86.6,152,streams,320
449,2021-05-12,NKHK Satsanga & Other Talks,NKHK Satsanga 12th May,3Km59EwAJaY,https://www.youtube.com/watch?v=3Km59EwAJaY,45.9,54,streams,324
451,2021-04-14,NKHK Satsanga & Other Talks,kannada satsanga 14th April,8wegu7tsvpY,https://www.youtube.com/watch?v=8wegu7tsvpY,53.4,53,streams,326
457,2021-03-24,NKHK Satsanga & Other Talks,Kannada satsanga 24th March 2021,Az3_i9X9tOU,https://www.youtube.com/watch?v=Az3_i9X9tOU,46.2,62,streams,332
458,2021-03-21,NKHK Satsanga & Other Talks,Marathi satsanga 21st March,jC1WfNDElkk,https://www.youtube.com/watch?v=jC1WfNDElkk,136.8,198,streams,333
