list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
29,2026-07-20,SriJayateertha Stuti,"SriJayateertha stuti Day3 ,20th July 2026",RDSoJySPqe8,https://www.youtube.com/watch?v=RDSoJySPqe8,39.6,28,streams,28
31,2026-07-16,SriJayateertha Stuti,Jayateertha Stuti Day2 16thJuly,a6d-RkFLjbg,https://www.youtube.com/watch?v=a6d-RkFLjbg,38.6,41,streams,29
32,2026-07-17,SriJayateertha Stuti,SriJayateertha Stuti Day1 - 17th July 2026,iJq8wBTmVzE,https://www.youtube.com/watch?v=iJq8wBTmVzE,36.5,59,streams,30
176,2025-07-28,SriJayateertha Stuti,"SrijayateerthaStuti -Shloka 14,15,16-Artha-Marathi -28th July 2025 Mangala",aIYoPXEipc4,https://www.youtube.com/watch?v=aIYoPXEipc4,61.0,83,streams,152
178,2025-07-25,SriJayateertha Stuti,"SriJayateerthastuti-shloka10,11-Marathi-artha-25thJuly2025",Ls6b2jkkbe0,https://www.youtube.com/watch?v=Ls6b2jkkbe0,43.7,78,streams,154
179,2025-07-25,SriJayateertha Stuti,"SriJayateerthastuti-shloka8,9-artha-Marathi",DU6AMmICpTk,https://www.youtube.com/watch?v=DU6AMmICpTk,46.8,75,streams,155
180,2025-07-23,SriJayateertha Stuti,"SriJayateerthastuti -artha-marathi-shloka 6,7- 23July2025",cDMyqRXOn8s,https://www.youtube.com/watch?v=cDMyqRXOn8s,42.5,109,streams,156
181,2025-07-20,SriJayateertha Stuti,"Srijayateerthastuti - marathi - artha -shloka 4,5-20th July 2025",s3E0tqWAKT0,https://www.youtube.com/watch?v=s3E0tqWAKT0,51.7,135,streams,157
183,2025-07-18,SriJayateertha Stuti,Srijayateerthastuti-Shloka3 - Marathi artha-18th July 2025,ICoS_Xb7Er0,https://www.youtube.com/watch?v=ICoS_Xb7Er0,16.2,85,streams,159
184,2025-07-20,SriJayateertha Stuti,-Artha-Marathi-Shloka2-SriJayateerthastuti,nKuu16YNE-g,https://www.youtube.com/watch?v=nKuu16YNE-g,21.0,146,streams,160
185,2025-07-16,SriJayateertha Stuti,SriJayateerthastuti artha-Marathi-Shloka1-Day1-16th July 2025,mQt31SV3Ytw,https://www.youtube.com/watch?v=mQt31SV3Ytw,18.5,282,streams,161
