list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
24,2026-08-02,SriJayateertha (Teekacharya) Charitra & Mahima,"SriJayateertha Swamiji ( Teekacharya) Charitra,Mahima-Marathi-2nd Aug 2026",5On2RYgO1AA,https://www.youtube.com/watch?v=5On2RYgO1AA,98.1,269,streams,24
25,2026-08-01,SriJayateertha (Teekacharya) Charitra & Mahima,"SriJayateertha Swamiji Charitra ,Mahima1st Aug 2026",ewyYTS-yvww,https://www.youtube.com/watch?v=ewyYTS-yvww,86.0,191,streams,25
177,2025-07-27,SriJayateertha (Teekacharya) Charitra & Mahima,"SriJayateerthastiti-shloka12,13-Artha-Marathi",2Sdb_IhQypo,https://www.youtube.com/watch?v=2Sdb_IhQypo,40.2,95,streams,153
186,2025-07-13,SriJayateertha (Teekacharya) Charitra & Mahima,Teekacharya's charitra in Marathi -Day2- 13th July 2025,imRci11Ezpg,https://www.youtube.com/watch?v=imRci11Ezpg,71.0,411,streams,162
188,2025-07-12,SriJayateertha (Teekacharya) Charitra & Mahima,SriTeekacharya Charitra and mahima-Marathi-12th July2025,JGUmLHow8QQ,https://www.youtube.com/watch?v=JGUmLHow8QQ,79.9,609,streams,164
423,2021-08-03,SriJayateertha (Teekacharya) Charitra & Mahima,NKHK Kannada SriTeekachrayara Charitre Day3 3rd Aug 2021,LFxw5wTnsto,https://www.youtube.com/watch?v=LFxw5wTnsto,56.8,131,streams,303
424,2021-08-01,SriJayateertha (Teekacharya) Charitra & Mahima,NKHK Marathi SriTeekacharya Charitra 1st Aug 2021,k9yL2sLIt1o,https://www.youtube.com/watch?v=k9yL2sLIt1o,96.7,125,streams,304
425,2021-07-29,SriJayateertha (Teekacharya) Charitra & Mahima,NKHK Kannada SriTeekacharyara charitre Day2,iYxFXwf_uuI,https://www.youtube.com/watch?v=iYxFXwf_uuI,46.1,93,streams,305
426,2021-07-28,SriJayateertha (Teekacharya) Charitra & Mahima,NKHK Kannada Sri Teekacharyara Charitre Day2 28th July,0YQ88JVHcrM,https://www.youtube.com/watch?v=0YQ88JVHcrM,2.5,36,streams,306
427,2021-07-27,SriJayateertha (Teekacharya) Charitra & Mahima,NKHK Kannada SriTeekacharyara charitre mahima 27th July,pJnmp1Qi-Xo,https://www.youtube.com/watch?v=pJnmp1Qi-Xo,72.3,254,streams,307
