list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
1,2026-09-06,Sandhya Shala (Onboarding/Classes),Sandhya Shala Class3(slot2) 6th Sep2026,6810aNatEy0,https://www.youtube.com/watch?v=6810aNatEy0,100.6,1300,streams,1
2,2026-09-05,Sandhya Shala (Onboarding/Classes),Sandhya Shala Class 3 (slot1) 5th Sep2026,dhK4_Svjy0U,https://www.youtube.com/watch?v=dhK4_Svjy0U,97.3,2200,streams,2
3,2026-09-03,Sumadhwavijaya (Marathi),Sumadhwavijaya Marathi - 3rd Sep2026,CUIrNKGnVNY,https://www.youtube.com/watch?v=CUIrNKGnVNY,37.0,234,streams,3
4,2026-08-28,Sandhya Shala (Onboarding/Classes),Sandhya Shala Class 2 ( Repeat)- 28th Aug 2026,zbOVSea4q8M,https://www.youtube.com/watch?v=zbOVSea4q8M,100.7,1400,streams,4
5,2026-08-27,Sandhya Shala (Onboarding/Classes),Sandhya Shala Class2 - 27th Aug 2026,Ud8W8NBAlAM,https://www.youtube.com/watch?v=Ud8W8NBAlAM,109.3,7000,streams,5
6,2026-08-26,Sumadhwavijaya (Marathi),Sumadhwavijaya Marathi 26th Aug 2026,06iNO-yjt68,https://www.youtube.com/watch?v=06iNO-yjt68,26.5,106,streams,6
7,2026-08-25,Sumadhwavijaya (Marathi),Sumadhwavijaya Marathi 25th Aug 2026,dzhnKEGZFwI,https://www.youtube.com/watch?v=dzhnKEGZFwI,38.6,189,streams,7
8,2026-08-22,Sandhya Shala (Onboarding/Classes),Sandhya Shala Module1 Class1- 22nd Aug 2026,kDJDS2RZZqU,https://www.youtube.com/watch?v=kDJDS2RZZqU,107.5,1500,streams,8
9,2026-08-21,Sandhya Shala (Onboarding/Classes),Sandhya Shala Module1-Class1-21st Aug 2026,eofsHe6Vuxk,https://www.youtube.com/watch?v=eofsHe6Vuxk,108.4,1700,streams,9
10,2026-08-20,Sumadhwavijaya (Marathi),Sumadhwavijaya Marathi 20th Aug 2026,XI1p-C4kUhw,https://www.youtube.com/watch?v=XI1p-C4kUhw,33.8,285,streams,10
11,2026-08-18,Sumadhwavijaya (Marathi),Sumadhwavijaya Marathi 18th Aug 2026,2RNaoaaP2Xo,https://www.youtube.com/watch?v=2RNaoaaP2Xo,32.7,75,streams,11
12,2026-08-17,Sumadhwavijaya (Marathi),Sumadhwavijaya Marathi 17th Aug 2026,hkvFD-GdwBQ,https://www.youtube.com/watch?v=hkvFD-GdwBQ,38.1,58,streams,12
13,2026-08-14,Sumadhwavijaya (Marathi),Sumadhwavijaya Marathi 14th Aug 2026,CetDxo9qS1U,https://www.youtube.com/watch?v=CetDxo9qS1U,41.4,109,streams,13
14,2026-08-12,Sandhya Shala (Onboarding/Classes),Sandhyavandana Shala Onboarding session 12th Aug 2026,1d5ZCFUGiT8,https://www.youtube.com/watch?v=1d5ZCFUGiT8,59.5,283,streams,14
